180.800000,14_04_2021_13_02_11
159.150000,14_04_2021_16_13_52
86.650000,14_04_2021_16_37_55
171.500000,14_04_2021_17_08_54
161.250000,14_04_2021_17_28_11
161.250000,14_04_2021_17_47_29
194.350000,14_04_2021_18_06_46
194.350000,14_04_2021_18_26_03
198.650000,14_04_2021_18_45_21
198.250000,14_04_2021_19_04_38
202.700000,14_04_2021_19_23_55
199.700000,14_04_2021_19_43_13
201.050000,14_04_2021_20_02_30
199.650000,14_04_2021_20_21_48
207.450000,14_04_2021_20_41_05
205.400000,14_04_2021_21_00_22
205.100000,14_04_2021_21_19_40
205.150000,14_04_2021_21_38_57
205.250000,14_04_2021_21_58_14
211.650000,14_04_2021_22_17_32
207.100000,14_04_2021_22_36_49
210.750000,14_04_2021_22_56_07
208.350000,14_04_2021_23_15_24
211.050000,14_04_2021_23_34_41
205.100000,14_04_2021_23_54_00
207.550000,15_04_2021_00_13_18
203.700000,15_04_2021_00_32_35
210.500000,15_04_2021_00_51_52
203.950000,15_04_2021_01_11_10
205.600000,15_04_2021_01_30_27
205.500000,15_04_2021_01_49_44
205.500000,15_04_2021_02_09_02
201.250000,15_04_2021_02_28_19
204.650000,15_04_2021_02_47_37
210.900000,15_04_2021_03_06_54
208.600000,15_04_2021_03_26_11
211.000000,15_04_2021_03_45_29
201.750000,15_04_2021_04_04_46
194.850000,15_04_2021_04_24_04
206.700000,15_04_2021_04_43_21
199.550000,15_04_2021_05_02_38
199.600000,15_04_2021_05_21_55
207.800000,15_04_2021_05_41_13
199.850000,15_04_2021_06_00_30
204.500000,15_04_2021_06_19_47
200.050000,15_04_2021_06_39_05
197.450000,15_04_2021_06_58_22
204.100000,15_04_2021_07_17_40
199.250000,15_04_2021_07_36_57
206.350000,15_04_2021_07_56_14
206.500000,15_04_2021_08_15_32
197.950000,15_04_2021_08_34_49
211.150000,15_04_2021_08_54_07
