0.000000,12_05_2021_20_36_53
0.050000,12_05_2021_21_00_13
0.000000,12_05_2021_21_23_33
0.050000,12_05_2021_21_46_52
0.100000,12_05_2021_22_10_11
0.050000,12_05_2021_22_33_31
0.000000,12_05_2021_22_56_50
0.100000,12_05_2021_23_20_09
0.050000,12_05_2021_23_43_28
0.100000,13_05_2021_00_06_48
0.100000,13_05_2021_00_30_07
0.050000,13_05_2021_00_53_26
0.100000,13_05_2021_01_16_46
0.050000,13_05_2021_01_40_05
0.100000,13_05_2021_02_03_24
0.100000,13_05_2021_02_26_44
0.100000,13_05_2021_02_50_03
0.100000,13_05_2021_03_13_22
0.100000,13_05_2021_03_36_42
0.100000,13_05_2021_04_00_01
0.150000,13_05_2021_04_23_21
0.150000,13_05_2021_04_46_40
0.150000,13_05_2021_05_10_00
0.100000,13_05_2021_05_33_19
0.100000,13_05_2021_05_56_38
0.100000,13_05_2021_06_19_57
0.100000,13_05_2021_06_43_17
0.100000,13_05_2021_07_06_36
0.100000,13_05_2021_07_29_56
0.150000,13_05_2021_07_53_15
0.150000,13_05_2021_08_16_34
0.200000,13_05_2021_08_39_54
