MSU02401,-9.79,0.05,02.24.2021_13_23_22,3: Only Vacuumed,0: No Error,,Winston ,Protvino
MSU02382,-9.70,0.04,02.24.2021_13_30_46,3: Only Vacuumed,0: No Error,,Winston ,Protvino
MSU02373,-9.68,-0.01,02.24.2021_13_37_08,3: Only Vacuumed,0: No Error,,Winston ,Protvino
MSU02374,-9.70,0.05,02.24.2021_13_45_56,3: Only Vacuumed,0: No Error,,Winston ,Protvino
MSU02375,-9.68,0.05,02.24.2021_13_53_54,3: Only Vacuumed,0: No Error,,Winston ,Protvino
MSU02376,-9.73,-0.05,02.24.2021_14_01_09,3: Only Vacuumed,0: No Error,,Winston ,Protvino
