MSU02074,-9.77,0.03,12.14.2020_09_42_09,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02073,-9.77,0.00,12.14.2020_09_46_42,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02072,-9.75,0.07,12.14.2020_09_51_26,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02071,-9.73,0.00,12.14.2020_09_56_18,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02070,-9.73,0.03,12.14.2020_10_01_06,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02069,-9.79,-0.03,12.14.2020_11_24_49,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02068,-9.70,0.00,12.14.2020_11_30_37,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02067,-9.73,-0.05,12.14.2020_11_45_07,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02066,-9.66,0.00,12.14.2020_11_50_21,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02065,-9.75,0.02,12.14.2020_11_54_40,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02064,-9.77,0.01,12.14.2020_12_18_42,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02063,-9.74,-0.07,12.14.2020_12_24_51,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02062,-9.73,0.02,12.14.2020_12_31_14,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02061,-9.70,0.10,12.14.2020_12_41_13,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02060,-9.78,-0.10,12.14.2020_12_48_04,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02059,-9.74,-0.03,12.14.2020_12_55_05,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02058,-9.77,-0.05,12.14.2020_13_00_51,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02057,-9.75,-0.10,12.14.2020_13_07_45,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02056,-9.79,-0.08,12.14.2020_13_13_28,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02053,-9.66,-0.04,12.14.2020_13_19_01,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02052,-9.73,-0.22,12.14.2020_13_25_37,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02051,-9.70,0.10,12.14.2020_13_36_41,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02050,-9.75,-0.07,12.14.2020_13_47_56,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02049,-9.74,-0.05,12.14.2020_14_15_22,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02048,-9.72,-0.09,12.14.2020_14_21_00,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02047,-9.72,-0.02,12.14.2020_14_26_42,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02046,-9.73,-0.01,12.14.2020_14_32_03,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02045,-9.74,0.00,12.14.2020_14_38_17,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02044,-9.72,-0.02,12.14.2020_14_44_00,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02043,-9.72,0.00,12.14.2020_14_49_58,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02042,-9.72,-0.01,12.14.2020_14_56_22,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02041,-9.71,-0.07,12.14.2020_15_02_10,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02040,-9.79,0.07,12.14.2020_15_14_50,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02039,-9.78,-0.01,12.14.2020_15_22_02,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02038,-9.74,-0.02,12.14.2020_15_36_59,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02037,-9.82,-0.18,12.14.2020_15_44_04,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02036,-9.71,-0.02,12.14.2020_15_50_21,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02035,-9.71,-0.03,12.14.2020_15_57_00,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02034,-9.74,-0.08,12.14.2020_16_02_54,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02033,-9.78,-0.05,12.14.2020_16_20_27,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02032,-9.74,-0.07,12.14.2020_16_26_57,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02031,-9.77,-0.14,12.14.2020_16_32_28,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02030,-9.75,-0.07,12.14.2020_16_40_20,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02029,-9.76,-0.04,12.14.2020_16_51_02,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02028,-9.79,-0.14,12.14.2020_17_03_04,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02027,-9.73,0.06,12.15.2020_08_38_35,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02026,-9.70,0.10,12.15.2020_08_44_02,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02025,-9.72,0.00,12.15.2020_08_51_15,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02024,-9.71,-0.13,12.15.2020_08_58_29,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02023,-9.70,-0.09,12.15.2020_09_03_19,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02022,-9.74,0.00,12.15.2020_09_07_59,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02020,-9.69,0.21,12.15.2020_09_13_26,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02019,-9.74,0.02,12.15.2020_09_18_12,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02018,-9.69,0.02,12.15.2020_09_23_25,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02017,-9.74,0.00,12.15.2020_09_29_16,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02016,-9.70,0.00,12.15.2020_09_49_36,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02015,-9.71,0.04,12.15.2020_09_54_51,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02014,-9.70,0.06,12.15.2020_10_02_31,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02013,-9.76,0.04,12.15.2020_10_07_11,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02012,-9.76,0.12,12.15.2020_10_12_53,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02011,-9.76,0.00,12.15.2020_10_17_35,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02010,-9.76,-0.04,12.15.2020_10_22_20,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02008,-9.69,0.09,12.15.2020_10_27_04,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02007,-9.66,0.00,12.15.2020_10_44_41,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02006,-9.69,0.14,12.15.2020_10_50_03,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02005,-9.66,0.12,12.15.2020_10_54_22,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02004,-9.66,0.00,12.15.2020_10_58_42,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02003,-9.63,0.03,12.15.2020_11_03_45,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU02000,-9.67,0.20,12.15.2020_11_08_36,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU01999,-9.64,0.00,12.15.2020_11_13_07,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU01998,-9.68,0.14,12.15.2020_11_19_10,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU01997,-9.69,-0.07,12.15.2020_11_46_11,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU01996,-9.70,0.00,12.15.2020_11_51_06,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU01994,-9.75,-0.01,12.15.2020_11_55_33,3: Only Vacuumed,0: No Error,,mike,Protvino
MSU01993,-9.73,-0.02,12.15.2020_13_45_57,3: Only Vacuumed,0: No Error,,hayden,Protvino
MSU01992,-9.76,-0.13,12.15.2020_13_49_52,3: Only Vacuumed,0: No Error,,hayden,Protvino
MSU01991,-9.71,0.05,12.15.2020_13_53_12,3: Only Vacuumed,0: No Error,,hayden,Protvino
MSU01990,-9.71,-0.01,12.15.2020_13_56_47,3: Only Vacuumed,0: No Error,,hayden,Protvino
