MSU00640,-9.77,-0.01,07.27.2020_11_01_55,3: Only Vacuumed,0: No Error,,Braden
MSU00641,-10.04,-0.22,07.27.2020_11_12_21,3: Only Vacuumed,0: No Error,,Braden
MSU00642,-10.00,-0.21,07.27.2020_11_22_31,3: Only Vacuumed,0: No Error,,Braden
MSU00643,-10.09,-0.23,07.27.2020_11_28_07,3: Only Vacuumed,0: No Error,,Braden
MSU00644,-10.03,-0.23,07.27.2020_11_42_53,3: Only Vacuumed,0: No Error,,Braden
MSU00645,-9.93,-0.05,07.27.2020_13_14_23,3: Only Vacuumed,0: No Error,,Braden
MSU00646,-10.19,-0.43,07.27.2020_13_20_59,3: Only Vacuumed,0: No Error,,Braden
MSU00647,-10.01,-0.20,07.27.2020_13_26_40,3: Only Vacuumed,0: No Error,,Braden
MSU00648,-9.91,-0.14,07.27.2020_13_31_20,3: Only Vacuumed,0: No Error,,Braden
MSU00649,-9.92,-0.09,07.27.2020_13_36_18,3: Only Vacuumed,0: No Error,,Braden
MSU00650,-10.12,-0.32,07.27.2020_13_42_43,3: Only Vacuumed,0: No Error,,Braden
MSU00651,-9.98,-0.21,07.27.2020_13_49_23,3: Only Vacuumed,0: No Error,,Braden
MSU00652,-9.88,-0.13,07.27.2020_13_54_27,3: Only Vacuumed,0: No Error,,Braden
MSU00653,-9.98,-0.10,07.27.2020_13_59_06,3: Only Vacuumed,0: No Error,,Braden
MSU00654,-9.94,-0.14,07.27.2020_14_03_38,3: Only Vacuumed,0: No Error,,Braden
MSU00655,-9.93,-0.15,07.27.2020_14_07_59,3: Only Vacuumed,0: No Error,,Braden
MSU00656,-9.99,-0.13,07.27.2020_14_12_57,3: Only Vacuumed,0: No Error,,Braden
MSU00657,-9.90,-0.16,07.27.2020_14_17_43,3: Only Vacuumed,0: No Error,,Braden
MSU00658,-9.92,-0.02,07.27.2020_14_22_41,3: Only Vacuumed,0: No Error,,Braden
MSU00659,-10.03,-0.19,07.27.2020_14_28_16,3: Only Vacuumed,0: No Error,,Braden
MSU00658,-99,-99,07.27.2020_14_30_47,0: Not Cleaned,0: No Error,Tube bent: probably has the right tension: but length would be different than in program,Braden
MSU00660,-10.03,-0.14,07.27.2020_14_35_08,3: Only Vacuumed,0: No Error,,Braden
MSU00661,-9.91,-0.13,07.27.2020_14_40_00,3: Only Vacuumed,0: No Error,,Braden
MSU00662,-10.10,-0.35,07.27.2020_14_44_47,3: Only Vacuumed,0: No Error,,Braden
MSU00663,-10.04,-0.32,07.27.2020_14_49_53,3: Only Vacuumed,0: No Error,,Braden
MSU00664,-9.93,-0.12,07.27.2020_14_54_17,3: Only Vacuumed,0: No Error,,Braden
MSU00665,-10.02,-0.26,07.27.2020_14_58_44,3: Only Vacuumed,0: No Error,,Braden
MSU00666,-9.98,0.00,07.27.2020_15_03_26,3: Only Vacuumed,0: No Error,,Braden
MSU00667,-9.92,-0.07,07.27.2020_15_07_55,3: Only Vacuumed,0: No Error,,Braden
MSU00668,-9.97,-0.21,07.28.2020_07_06_49,3: Only Vacuumed,0: No Error,,Braden
MSU00669,-10.09,-0.27,07.28.2020_07_12_22,3: Only Vacuumed,0: No Error,,Braden
MSU00670,-10.02,-0.28,07.28.2020_07_17_30,3: Only Vacuumed,0: No Error,,Braden
MSU00671,-10.11,-0.16,07.28.2020_07_23_25,3: Only Vacuumed,0: No Error,,Braden
MSU00672,-9.96,-0.18,07.28.2020_07_28_18,3: Only Vacuumed,0: No Error,,Braden
MSU00673,-9.93,-0.21,07.28.2020_07_33_12,3: Only Vacuumed,0: No Error,,Braden
MSU00674,-9.90,-0.08,07.28.2020_07_38_07,3: Only Vacuumed,0: No Error,,Braden
MSU00675,-9.91,-0.24,07.28.2020_07_43_20,3: Only Vacuumed,0: No Error,,Braden
MSU00676,-9.98,-0.14,07.28.2020_07_47_49,3: Only Vacuumed,0: No Error,,Braden
MSU00677,-9.99,-0.24,07.28.2020_07_52_21,3: Only Vacuumed,0: No Error,,Braden
MSU00678,-9.91,-0.24,07.28.2020_07_57_17,3: Only Vacuumed,0: No Error,,Braden
MSU00679,-9.88,-0.02,07.28.2020_08_02_07,3: Only Vacuumed,0: No Error,,Braden
MSU00680,-9.88,-0.18,07.28.2020_08_06_50,3: Only Vacuumed,0: No Error,,Braden
MSU00681,-9.95,-0.15,07.28.2020_08_11_24,3: Only Vacuumed,0: No Error,,Braden
MSU00682,-9.99,-0.11,07.28.2020_08_16_15,3: Only Vacuumed,0: No Error,,Braden
MSU00683,-10.00,-0.15,07.28.2020_08_21_31,3: Only Vacuumed,0: No Error,,Braden
MSU00684,-9.99,-0.10,07.28.2020_08_26_34,3: Only Vacuumed,0: No Error,,Braden
MSU00685,-9.89,-0.12,07.28.2020_08_31_33,3: Only Vacuumed,0: No Error,,Braden
MSU00686,-9.96,-0.12,07.28.2020_08_36_52,3: Only Vacuumed,0: No Error,,Braden
MSU00687,-9.96,-0.18,07.28.2020_08_42_01,3: Only Vacuumed,0: No Error,,Braden
MSU00688,-9.92,-0.14,07.28.2020_08_47_09,3: Only Vacuumed,0: No Error,,Braden
MSU00689,-10.01,-0.32,07.28.2020_08_52_41,3: Only Vacuumed,0: No Error,,Braden
