MSU01916,0,11.18.2020_14_43_13,Colin,
MSU01917,0.8,11.18.2020_14_45_24,Colin,
MSU01918,0,11.18.2020_14_47_15,Colin,
MSU01919,0,11.18.2020_14_49_33,Colin,
MSU01920,0,11.18.2020_14_51_58,Colin,
MSU01921,0,11.18.2020_14_54_02,Colin,
MSU01922,0,11.18.2020_14_56_24,Colin,
MSU01923,0,11.18.2020_14_58_28,Colin,
MSU01924,0,11.18.2020_15_01_11,Colin,
MSU01925,0,11.18.2020_15_03_07,Colin,
MSU01926,0,11.18.2020_15_05_15,Colin,
MSU01927,0,11.18.2020_15_59_59,Colin,
MSU01928,0,11.18.2020_16_03_09,Colin,
MSU01929,0,11.18.2020_16_05_06,Colin,
MSU01930,0,11.18.2020_16_06_41,Colin,
MSU01931,0,11.18.2020_16_07_57,Colin,
MSU01932,0.8,11.18.2020_16_10_08,Colin,
MSU01933,0,11.18.2020_16_12_45,Colin,
MSU01934,0,11.18.2020_16_14_14,Colin,
MSU01935,0,11.18.2020_16_16_11,Colin,
MSU01936,0,11.18.2020_16_18_06,Colin,
MSU01937,0,11.18.2020_16_19_16,Colin,
MSU01938,0.8,11.18.2020_16_20_22,Colin,
MSU01939,0,11.18.2020_16_21_59,Colin,
MSU01940,0,11.18.2020_16_23_29,Colin,
