MSU02286,0,01.14.2021_09_06_00,Winston,
MSU02287,0,01.14.2021_09_07_21,Winston,
MSU02288,0.8,01.14.2021_09_08_23,Winston,
MSU02289,0,01.14.2021_09_09_46,Winston,
MSU02290,0.8,01.14.2021_09_11_19,Winston,
MSU02291,0.8,01.14.2021_09_13_02,Winston,
MSU02292,0.8,01.14.2021_09_19_44,Winston,
MSU02293,0.8,01.14.2021_09_22_15,Winston,
MSU02294,0.8,01.14.2021_09_24_03,Winston,
MSU02295,0.8,01.14.2021_09_25_52,Winston,
MSU02296,0,01.14.2021_09_27_15,Winston,
MSU02297,0.8,01.14.2021_09_29_08,Winston,
MSU02298,2.4,01.14.2021_09_32_17,Winston,
MSU02299,0.8,01.14.2021_09_35_42,Winston,
MSU02300,0.8,01.14.2021_09_37_49,Winston,
MSU02301,0,01.14.2021_09_39_52,Winston,
MSU02302,0.8,01.14.2021_09_41_20,Winston,
MSU02303,0,01.14.2021_09_42_54,Winston,
MSU02304,0,01.14.2021_09_45_14,Winston,
MSU02305,0,01.14.2021_09_46_48,Winston,
MSU02306,0.8,01.14.2021_09_49_00,Winston,
MSU02307,0,01.14.2021_09_50_28,Winston,
MSU02308,0,01.14.2021_09_52_04,Winston,
MSU02309,0,01.14.2021_09_53_19,Winston,
MSU02310,0.8,01.14.2021_09_54_41,Winston,
MSU02311,0,01.14.2021_09_56_30,Winston,
MSU02312,0.8,01.14.2021_09_58_07,Winston,
MSU02313,0,01.14.2021_09_59_33,Winston,
MSU02314,0,01.14.2021_10_00_53,Winston,
MSU02315,0.8,01.14.2021_10_02_16,Winston,
MSU02316,0,01.14.2021_10_03_33,Winston,
MSU02317,0,01.14.2021_10_05_02,Winston,
MSU02318,0.8,01.14.2021_10_06_08,Winston,
MSU02319,0.8,01.14.2021_10_07_50,Winston,
MSU02320,0.8,01.14.2021_10_09_33,Winston,
MSU02321,0,01.14.2021_10_11_38,Winston,
MSU02322,0,01.14.2021_10_13_06,Winston,
MSU02323,0,01.14.2021_10_14_24,Winston,
MSU02324,0,01.14.2021_10_15_42,Winston,
MSU02325,0,01.14.2021_10_17_04,Winston,
MSU02326,0,01.14.2021_10_18_19,Winston,
MSU02327,0.8,01.14.2021_10_19_40,Winston,
MSU02328,0.8,01.14.2021_10_20_52,Winston,
MSU02329,0.8,01.14.2021_10_22_12,Winston,
MSU02330,0.8,01.14.2021_10_23_30,Winston,
MSU02331,1.6,01.14.2021_10_27_15,Winston,
