MSU01588,0.0,11.03.2020_08_18_45,Chase
MSU01589,0.8,11.03.2020_08_21_30,Chase
MSU01590,0.8,11.03.2020_08_23_31,Chase
MSU01591,0.8,11.03.2020_08_26_16,Chase
MSU01592,0.8,11.03.2020_08_30_06,Chase
MSU01593,0.8,11.03.2020_08_33_43,Chase
MSU01594,0.0,11.03.2020_08_36_16,Chase
MSU01595,0.8,11.03.2020_08_38_55,Chase
MSU01596,0.8,11.03.2020_08_41_45,Chase
MSU01597,0.0,11.03.2020_08_43_06,Chase
MSU01598,0.8,11.03.2020_08_45_51,Chase
MSU01599,0.0,11.03.2020_08_48_38,Chase
MSU01600,0.8,11.03.2020_08_53_34,Chase
MSU01601,0.8,11.03.2020_08_55_41,Chase
MSU01602,0.8,11.03.2020_08_59_16,Chase
MSU01603,1.6,11.03.2020_09_01_17,Chase
MSU01604,0.8,11.03.2020_09_03_56,Chase
MSU01605,0.8,11.03.2020_09_05_37,Chase
MSU01606,0.8,11.03.2020_09_10_55,Chase
MSU01607,0.0,11.03.2020_09_11_42,Chase
MSU01608,0.8,11.03.2020_09_14_03,Chase
MSU01609,0.0,11.03.2020_09_15_50,Chase
MSU01610,0.8,11.03.2020_09_18_11,Chase
MSU01611,0.8,11.03.2020_09_20_16,Chase
MSU01612,0.8,11.03.2020_09_24_24,Chase
MSU01613,0.0,11.03.2020_09_28_13,Chase
MSU01614,0.0,11.03.2020_09_29_52,Chase
MSU01615,0.0,11.03.2020_09_31_46,Chase
MSU01616,0.0,11.03.2020_09_33_47,Chase
MSU01617,0.0,11.03.2020_09_38_07,Chase
MSU01618,0.0,11.03.2020_09_41_20,Chase
MSU01619,0.0,11.03.2020_10_07_16,Chase
MSU01620,0.0,11.03.2020_10_09_37,Chase
MSU01621,0.0,11.03.2020_10_12_14,Chase
MSU01622,0.0,11.03.2020_10_12_58,Chase
MSU01623,0.0,11.03.2020_10_15_29,Chase
MSU01624,0.0,11.03.2020_10_17_58,Chase
MSU01625,0.8,11.03.2020_10_20_32,Chase
MSU01626,0.0,11.03.2020_10_25_08,Chase
MSU01627,0.0,11.03.2020_10_25_25,Chase
MSU01628,0.8,11.03.2020_10_29_57,Chase
MSU01629,0.0,11.03.2020_10_33_38,Chase
MSU01630,0.0,11.03.2020_10_33_56,Chase
MSU01631,0.0,11.03.2020_10_36_58,Chase
MSU01632,0.8,11.03.2020_10_39_35,Chase
MSU01633,0.0,11.03.2020_10_42_04,Chase
MSU01634,0.8,11.03.2020_10_44_11,Chase
MSU01635,0.8,11.03.2020_10_47_06,Chase
MSU01636,0.0,11.03.2020_10_48_41,Chase
MSU01637,0.8,11.03.2020_10_52_58,Chase
MSU01638,0.0,11.03.2020_10_55_05,Chase
MSU01639,0.0,11.03.2020_10_58_01,Chase
MSU01640,0.0,11.03.2020_11_02_46,Chase
MSU01641,0.0,11.03.2020_11_05_40,Chase
MSU01642,0.0,11.03.2020_11_09_07,Chase
MSU01643,0.0,11.03.2020_11_09_34,Chase
MSU01644,0.0,11.03.2020_11_11_52,Chase
MSU01645,0.0,11.03.2020_11_14_52,Chase
MSU01646,0.0,11.03.2020_11_17_49,Chase
MSU01647,0.8,11.03.2020_11_18_35,Chase
MSU01648,0.0,11.03.2020_11_21_39,Chase
MSU01649,0.0,11.03.2020_11_43_08,Chase
MSU01650,0.0,11.03.2020_11_44_46,Chase
MSU01651,0.0,11.03.2020_11_47_26,Chase
MSU01652,0.0,11.03.2020_11_50_04,Chase
MSU01653,0,11.04.2020_14_37_30,Colin
MSU01654,1.6,11.04.2020_14_39_56,Colin
MSU01655,0,11.04.2020_14_43_04,Colin
MSU01656,0,11.04.2020_14_47_22,Colin
MSU01657,0,11.04.2020_14_51_10,Colin
MSU01658,0,11.04.2020_14_54_06,Colin
MSU01659,0,11.04.2020_14_57_42,Colin
MSU01660,0,11.04.2020_15_11_47,Colin
MSU01661,0.8,11.04.2020_15_13_37,Colin
MSU01662,0,11.04.2020_15_17_46,Colin
MSU01663,0,11.04.2020_15_20_49,Colin
MSU01664,0,11.04.2020_15_23_01,Colin
MSU01665,0,11.04.2020_15_25_05,Colin
MSU01666,0,11.04.2020_15_27_56,Colin
MSU01667,0.8,11.04.2020_15_30_20,Colin
MSU01668,0,11.04.2020_15_33_11,Colin
MSU01669,0,11.04.2020_15_35_09,Colin
MSU01670,0,11.04.2020_15_37_12,Colin
MSU01671,0.8,11.04.2020_15_38_38,Colin
MSU01672,0,11.04.2020_15_41_25,Colin
MSU01673,0,11.04.2020_15_43_51,Colin
MSU01674,0,11.04.2020_15_45_57,Colin
MSU01675,0,11.04.2020_15_51_42,Colin
MSU01676,0,11.04.2020_15_54_19,Colin
MSU01677,0,11.04.2020_15_57_36,Colin
MSU01678,0,11.04.2020_16_00_35,Colin
MSU01679,0.8,11.04.2020_16_02_22,Colin
MSU01680,0,11.04.2020_16_04_22,Colin
MSU01681,0,11.04.2020_16_26_19,Dravin
MSU01682,0,11.04.2020_16_28_51,Dravin
MSU01683,0,11.04.2020_16_30_44,Dravin
MSU01684,0.8,11.04.2020_16_33_50,Dravin
MSU01685,0,11.04.2020_16_36_40,Dravin
MSU01686,0.8,11.04.2020_16_38_31,Dravin
MSU01687,0.8,11.04.2020_16_41_50,Dravin
MSU01688,0.8,11.04.2020_16_44_35,Dravin
MSU01689,0,11.04.2020_16_46_42,Dravin
MSU01690,1.6,11.04.2020_16_49_18,Dravin
MSU01691,0.8,11.04.2020_16_51_16,Dravin
MSU01692,0.8,11.04.2020_16_53_51,Dravin
MSU01693,0.8,11.04.2020_16_57_07,Dravin
