MSU04681,0.8,06.01.2021_11_39_05,Winston,
MSU04682,0,06.01.2021_11_39_50,Winston,
MSU04683,0,06.01.2021_11_40_37,Winston,
MSU04684,0,06.01.2021_11_41_12,Winston,
MSU04685,0.8,06.01.2021_11_41_50,Winston,
MSU04686,0,06.01.2021_11_42_23,Winston,
MSU04687,0,06.01.2021_11_42_55,Winston,
MSU04688,0,06.01.2021_11_43_25,Winston,
MSU04689,0,06.01.2021_11_43_58,Winston,
MSU04690,0,06.01.2021_11_44_26,Winston,
MSU04691,0,06.01.2021_11_44_54,Winston,
MSU04692,0,06.01.2021_11_45_49,Winston,
MSU04693,0,06.01.2021_11_46_28,Winston,
MSU04694,0.8,06.01.2021_11_46_57,Winston,
MSU04695,0,06.01.2021_11_47_30,Winston,
MSU04696,0,06.01.2021_11_47_58,Winston,
MSU04697,0,06.01.2021_11_48_26,Winston,
MSU04698,0.8,06.01.2021_11_48_59,Winston,
MSU04699,0,06.01.2021_11_49_28,Winston,
MSU04700,0,06.01.2021_11_50_00,Winston,
MSU04701,0,06.01.2021_11_50_27,Winston,
MSU04702,0,06.01.2021_11_50_57,Winston,
MSU04703,0,06.01.2021_11_51_27,Winston,
MSU04704,0,06.01.2021_11_53_52,Winston,
MSU04705,0,06.01.2021_11_54_26,Winston,
MSU04706,0,06.01.2021_11_54_54,Winston,
