MSU02768,0,03.01.2021_12_22_13,Winston,
MSU02769,0.8,03.01.2021_12_23_47,Winston,
MSU02770,0.8,03.01.2021_12_24_57,Winston,
MSU02771,0,03.01.2021_12_27_55,Winston,
MSU02772,0,03.01.2021_12_29_00,Winston,
MSU02773,0,03.01.2021_12_30_12,Winston,
MSU02774,0,03.01.2021_12_31_04,Winston,
MSU02775,0.8,03.01.2021_12_32_21,Winston,
MSU02776,0,03.01.2021_12_33_33,Winston,
MSU02777,0,03.01.2021_12_34_26,Winston,
MSU02778,0,03.01.2021_12_35_34,Winston,
MSU02779,0.8,03.01.2021_12_38_11,Winston,
MSU02780,0.8,03.01.2021_12_39_49,Winston,
MSU02781,0,03.01.2021_12_40_42,Winston,
MSU02782,0.8,03.01.2021_12_42_39,Winston,
MSU02783,0.8,03.01.2021_12_43_37,Winston,
MSU02784,0.8,03.01.2021_12_44_32,Winston,
MSU02785,0,03.01.2021_12_45_29,Winston,
MSU02786,0,03.01.2021_12_46_17,Winston,
MSU02787,0.8,03.01.2021_12_47_35,Winston,
MSU02788,0,03.01.2021_12_49_49,Winston,
MSU02789,0,03.01.2021_12_50_47,Winston,
MSU02790,0,03.01.2021_12_51_52,Winston,
MSU02791,0,03.01.2021_12_52_40,Winston,
MSU02792,0.8,03.01.2021_12_53_51,Winston,
MSU02793,0,03.01.2021_12_55_40,Winston,
MSU02794,1.6,03.01.2021_12_57_07,Winston,
MSU02795,0.8,03.01.2021_12_58_22,Winston,
MSU02796,0,03.01.2021_12_59_34,Winston,
MSU02797,0,03.01.2021_13_01_03,Winston,
MSU02798,0.8,03.01.2021_13_02_25,Winston,
MSU02799,0,03.01.2021_13_06_23,Winston,
MSU02800,0.8,03.01.2021_13_07_17,Winston,
MSU02801,0,03.01.2021_13_08_20,Winston,
MSU02802,0,03.01.2021_13_09_24,Winston,
MSU02803,0,03.01.2021_13_10_26,Winston,
