MSU03830,0.8,05.17.2021_10_23_05,Winston,
MSU03831,0,05.17.2021_10_25_08,Winston,
MSU03832,0,05.17.2021_10_26_07,Winston,
MSU03833,0,05.17.2021_10_27_16,Winston,
MSU03834,0,05.17.2021_10_27_59,Winston,
MSU03835,0.8,05.17.2021_10_33_43,Winston,
MSU03836,0.8,05.17.2021_10_34_57,Winston,
MSU03837,0,05.17.2021_10_36_41,Winston,
MSU03838,0,05.17.2021_10_37_36,Winston,
MSU03839,0.8,05.17.2021_10_38_14,Winston,
MSU03840,0,05.17.2021_10_39_31,Winston,
MSU03841,0.8,05.17.2021_10_39_58,Winston,
MSU03842,0.8,05.17.2021_10_41_06,Winston,
MSU03843,0,05.17.2021_10_42_13,Winston,
MSU03844,0,05.17.2021_10_42_55,Winston,
MSU03845,0,05.17.2021_10_43_29,Winston,
MSU03846,0,05.17.2021_10_44_37,Winston,
MSU03847,0,05.17.2021_10_45_29,Winston,
MSU03848,0.8,05.17.2021_10_45_55,Winston,
MSU03849,0.8,05.17.2021_10_48_20,Winston,
MSU03850,0.8,05.17.2021_10_49_39,Winston,
MSU03851,0.8,05.17.2021_10_53_28,Winston,
MSU03852,0,05.17.2021_10_56_32,Winston,
MSU03853,0,05.17.2021_10_57_05,Winston,
MSU03854,0.8,05.17.2021_10_57_56,Winston,
MSU03855,0,05.17.2021_11_00_39,Winston,
MSU03856,0,05.17.2021_11_01_22,Winston,
MSU03857,0.8,05.17.2021_11_06_47,Winston,
MSU03858,0.8,05.17.2021_11_07_48,Winston,
MSU03859,0,05.17.2021_11_09_28,Winston,
MSU03860,0.8,05.17.2021_11_09_53,Winston,
MSU03861,0.8,05.17.2021_11_10_53,Winston,
MSU03862,0,05.17.2021_11_12_49,Winston,
MSU03863,0,05.17.2021_11_13_25,Winston,
MSU03864,0,05.17.2021_11_14_12,Winston,
MSU03865,0,05.17.2021_11_33_39,Winston,
MSU03866,0,05.17.2021_11_34_03,Winston,
MSU03867,0,05.17.2021_11_36_35,Winston,
MSU03868,0.8,05.17.2021_11_36_57,Winston,
MSU03869,1.6,05.17.2021_11_38_02,Winston,
MSU03870,0,05.17.2021_11_39_31,Winston,
MSU03871,0.8,05.17.2021_11_40_01,Winston,
MSU03872,0,05.17.2021_11_41_27,Winston,
MSU03873,0,05.17.2021_11_43_15,Winston,
MSU03874,0,05.17.2021_11_48_09,Winston,
MSU03875,0.8,05.17.2021_11_49_15,Winston,
MSU03876,0,05.17.2021_11_50_15,Winston,
MSU0387,0,05.17.2021_11_51_13,Winston,
MSU0388,0.8,05.17.2021_11_52_34,Winston,
MSU03889,0.8,05.17.2021_11_53_44,Winston,
MSU03890,0,05.17.2021_11_54_59,Winston,
MSU03891,0.8,05.17.2021_11_56_06,Winston,
MSU03892,0.8,05.17.2021_11_57_36,Winston,
MSU03893,0,05.17.2021_11_59_11,Winston,
