MSU01793,0.8,11.12.2020_09_05_17,Chase,
MSU01794,0.0,11.12.2020_09_08_05,Chase,
MSU01795,0.8,11.12.2020_09_10_58,Chase,
MSU01796,0.0,11.12.2020_09_12_41,Chase,
MSU01797,0.0,11.12.2020_09_16_16,Chase,
MSU01798,0.0,11.12.2020_09_19_32,Chase,
MSU01799,0.0,11.12.2020_09_19_58,Chase,
MSU01800,0.8,11.12.2020_09_22_26,Chase,
MSU01801,0.0,11.12.2020_09_24_38,Chase,
MSU01802,0.0,11.12.2020_09_26_17,Chase,
MSU01803,0.0,11.12.2020_09_30_25,Chase,
MSU01804,0.8,11.12.2020_09_32_39,Chase,
MSU01805,0.0,11.12.2020_09_34_23,Chase,
MSU01806,0.0,11.12.2020_09_36_42,Chase,
MSU01807,0.0,11.12.2020_09_40_01,Chase,
MSU01808,0.0,11.12.2020_09_42_28,Chase,
MSU01809,0.0,11.12.2020_09_44_05,Chase,
MSU01810,0.8,11.12.2020_09_46_56,Chase,bent on end near barcode
MSU01811,0.0,11.12.2020_09_49_07,Chase,
MSU01812,0.0,11.12.2020_09_50_57,Chase,
MSU01813,0.8,11.12.2020_09_53_36,Chase,
MSU01814,0.0,11.12.2020_09_56_29,Chase,
MSU01815,0.8,11.12.2020_09_58_58,Chase,
MSU01816,0.8,11.12.2020_10_01_00,Chase,
MSU01817,0.8,11.12.2020_10_03_32,Chase,
MSU01818,0.0,11.12.2020_10_06_09,Chase,
MSU01819,0.0,11.12.2020_10_07_18,Chase,
MSU01820,0.0,11.12.2020_10_09_35,Chase,
MSU01821,0.0,11.12.2020_10_10_45,Chase,
MSU01822,0.0,11.12.2020_10_12_50,Chase,
MSU01823,0.8,11.12.2020_10_15_17,Chase,
MSU01824,0.0,11.12.2020_10_17_02,Chase,
MSU01825,0.0,11.12.2020_10_20_12,Chase,
MSU01826,0.0,11.12.2020_10_22_41,Chase,
MSU01827,0.0,11.12.2020_10_24_12,Chase,
MSU01828,0.0,11.12.2020_10_26_12,Chase,
MSU01829,0.8,11.12.2020_10_28_51,Chase,
MSU01830,0.0,11.12.2020_10_30_51,Chase,
MSU01831,0.0,11.12.2020_10_55_50,Chase,
MSU01832,0.8,11.12.2020_10_57_29,Chase,bent on end near barcode
MSU01833,0.0,11.12.2020_10_58_28,Chase,
MSU01834,0.0,11.12.2020_10_59_48,Chase,
MSU01835,0.0,11.12.2020_11_01_27,Chase,
MSU01836,0.0,11.12.2020_11_03_11,Chase,
MSU01837,0.0,11.12.2020_11_05_03,Chase,
MSU01838,0.0,11.12.2020_11_06_47,Chase,
MSU01839,0.0,11.12.2020_11_07_35,Chase,
MSU01840,0.0,11.12.2020_11_09_09,Chase,
MSU01841,0.0,11.12.2020_11_10_59,Chase,
MSU01842,0.0,11.12.2020_11_12_39,Chase,
MSU01843,0.0,11.12.2020_11_14_57,Chase,
MSU01844,0.0,11.12.2020_11_16_28,Chase,
MSU01845,0.0,11.12.2020_11_17_42,Chase,
MSU01846,0.8,11.12.2020_11_19_57,Chase,bent on end near barcode
MSU01847,0.0,11.12.2020_11_21_50,Chase,
MSU01848,0.0,11.12.2020_11_23_15,Chase,
MSU01849,0.0,11.12.2020_11_24_20,Chase,
MSU01850,0.0,11.12.2020_11_27_02,Chase,
MSU01851,0.0,11.12.2020_11_27_48,Chase,
MSU01852,0.0,11.12.2020_11_29_34,Chase,
MSU01853,0.8,11.12.2020_11_31_23,Chase,
MSU01854,0.8,11.12.2020_11_32_47,Chase,
MSU01855,0.0,11.12.2020_11_33_49,Chase,
MSU01856,0.0,11.12.2020_11_36_04,Chase,
MSU01857,2.4,11.12.2020_11_38_04,Chase,
