MSU01467,,,10.27.2020_10_40_47,3: Only Vacuumed,0: No Error,,Chase
MSU01468,-999,-999,10.27.2020_10_42_26,3: Only Vacuumed,0: No Error,,Chase
MSU01468,,,10.27.2020_10_42_26,3: Only Vacuumed,0: No Error,,Chase
MSU01469,-999,-999,10.27.2020_10_46_37,3: Only Vacuumed,0: No Error,,Chase
MSU01469,,,10.27.2020_10_46_37,3: Only Vacuumed,0: No Error,,Chase
MSU01470,-999,-999,10.27.2020_10_49_16,3: Only Vacuumed,0: No Error,,Chase
MSU01470,,,10.27.2020_10_49_16,3: Only Vacuumed,0: No Error,,Chase
MSU01471,-999,-999,10.27.2020_10_52_04,3: Only Vacuumed,0: No Error,,Chase
MSU01471,,,10.27.2020_10_52_04,3: Only Vacuumed,0: No Error,,Chase
MSU01472,-999,-999,10.27.2020_10_56_14,3: Only Vacuumed,7: 0.8mm shim fits,,Chase
MSU01472,,,10.27.2020_10_56_14,3: Only Vacuumed,0: No Error,,Chase
MSU01473,-999,-999,10.27.2020_10_56_57,3: Only Vacuumed,7: 0.8mm shim fits,,Chase
MSU01473,,,10.27.2020_10_56_57,3: Only Vacuumed,0: No Error,,Chase
MSU01474,-999,-999,10.27.2020_10_58_41,3: Only Vacuumed,0: No Error,,Chase
MSU01474,,,10.27.2020_10_58_41,3: Only Vacuumed,0: No Error,,Chase
MSU01475,-999,-999,10.27.2020_11_02_46,3: Only Vacuumed,0: No Error,,Chase
MSU01475,,,10.27.2020_11_02_46,3: Only Vacuumed,0: No Error,,Chase
MSU01476,-999,-999,10.27.2020_11_06_31,3: Only Vacuumed,0: No Error,,Chase
MSU01476,,,10.27.2020_11_06_31,3: Only Vacuumed,0: No Error,,Chase
MSU01477,-999,-999,10.27.2020_11_06_47,3: Only Vacuumed,0: No Error,,Chase
MSU01477,,,10.27.2020_11_06_47,3: Only Vacuumed,0: No Error,,Chase
MSU01478,-999,-999,10.27.2020_11_10_24,3: Only Vacuumed,7: 0.8mm shim fits,,Chase
MSU01478,,,10.27.2020_11_10_24,3: Only Vacuumed,0: No Error,,Chase
MSU01479,-999,-999,10.27.2020_11_13_48,3: Only Vacuumed,0: No Error,,Chase
MSU01479,,,10.27.2020_11_13_48,3: Only Vacuumed,0: No Error,,Chase
MSU01480,-999,-999,10.27.2020_11_16_47,3: Only Vacuumed,0: No Error,,Chase
MSU01480,,,10.27.2020_11_16_47,3: Only Vacuumed,0: No Error,,Chase
MSU01481,-999,-999,10.27.2020_11_19_23,3: Only Vacuumed,0: No Error,,Chase
MSU01481,,,10.27.2020_11_19_23,3: Only Vacuumed,0: No Error,,Chase
MSU01482,-999,-999,10.27.2020_11_21_58,3: Only Vacuumed,0: No Error,,Chase
MSU01482,,,10.27.2020_11_21_58,3: Only Vacuumed,0: No Error,,Chase
MSU01483,-999,-999,10.27.2020_11_24_57,3: Only Vacuumed,0: No Error,,Chase
MSU01483,,,10.27.2020_11_24_57,3: Only Vacuumed,0: No Error,,Chase
MSU01484,-999,-999,10.27.2020_11_27_02,3: Only Vacuumed,7: 0.8mm shim fits,,Chase
MSU01484,,,10.27.2020_11_27_02,3: Only Vacuumed,0: No Error,,Chase
MSU01485,-999,-999,10.27.2020_11_29_54,3: Only Vacuumed,7: 0.8mm shim fits,,Chase
MSU01485,,,10.27.2020_11_29_54,3: Only Vacuumed,0: No Error,,Chase
MSU01486,-999,-999,10.27.2020_11_32_25,3: Only Vacuumed,0: No Error,,Chase
MSU01486,,,10.27.2020_11_32_25,3: Only Vacuumed,0: No Error,,Chase
MSU01487,-999,-999,10.27.2020_11_35_19,3: Only Vacuumed,7: 0.8mm shim fits,,Chase
MSU01487,,,10.27.2020_11_35_19,3: Only Vacuumed,0: No Error,,Chase
MSU01488,-999,-999,10.27.2020_11_37_29,3: Only Vacuumed,0: No Error,,Chase
MSU01488,,,10.27.2020_11_37_29,3: Only Vacuumed,0: No Error,,Chase
MSU01489,-999,-999,10.27.2020_11_39_15,3: Only Vacuumed,7: 0.8mm shim fits,,Chase
MSU01489,,,10.27.2020_11_39_15,3: Only Vacuumed,0: No Error,,Chase
