MSU03008,-9.85,-0.16,03.23.2021_12_39_33,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02994,-9.74,0.53,03.23.2021_14_20_24,3: Only Vacuumed,0: No Error,Vaccumed without wire ,John,Protvino
MSU02993,-9.89,0.56,03.23.2021_14_55_21,3: Only Vacuumed,0: No Error,vaccumed without wire,John,Protvino
MSU02992,-9.86,0.38,03.23.2021_15_19_45,3: Only Vacuumed,0: No Error,vaccumed without wire,John,Protvino
MSU02953,-9.86,0.52,03.23.2021_16_07_17,3: Only Vacuumed,0: No Error,vaccumed without wire,John,Protvino
MSU02952,-9.94,-0.08,03.24.2021_10_21_11,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02951,-9.88,1.82,03.24.2021_10_27_15,3: Only Vacuumed,2: Swaged Improperly,,Colin,Protvino
MSU02950,-9.87,0.06,03.24.2021_10_35_25,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02949,-9.90,-0.12,03.24.2021_10_41_24,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02948,-9.87,-0.34,03.24.2021_10_47_37,3: Only Vacuumed,0: No Error,,Colin,Protvino
