MSU00865,1,2,09.11.2020_12_16_13,3: Only Vacuumed,2: Swaged Improperly,bad end plug,jake
MSU00866,-9.77,1.50,09.11.2020_12_17_00,3: Only Vacuumed,5: Wire lost inside swaged tube,,jake
MSU00869,-9.80,0.04,09.11.2020_12_26_56,3: Only Vacuumed,0: No Error,,mike
MSU00870,-9.88,-0.10,09.11.2020_12_33_56,3: Only Vacuumed,0: No Error,,mike
MSU00871,-9.80,0.05,09.11.2020_12_38_55,3: Only Vacuumed,0: No Error,,mike
MSU00872,-9.79,-0.01,09.11.2020_12_44_33,3: Only Vacuumed,0: No Error,,mike
MSU00873,-9.93,-0.13,09.11.2020_12_51_20,3: Only Vacuumed,0: No Error,,mike
MSU00874,-9.95,-0.02,09.11.2020_12_58_15,3: Only Vacuumed,0: No Error,,mike
MSU00875,-9.96,-0.04,09.11.2020_13_05_35,3: Only Vacuumed,0: No Error,,mike
MSU00876,-9.93,-0.19,09.11.2020_13_11_45,3: Only Vacuumed,0: No Error,,mike
MSU00877,-9.99,-0.28,09.11.2020_13_16_46,3: Only Vacuumed,0: No Error,,mike
MSU00878,-9.90,-0.27,09.11.2020_13_25_29,3: Only Vacuumed,0: No Error,,mike
