MSU01302,-9.50,-0.05,09.28.2020_13_23_36,3: Only Vacuumed,0: No Error,,Hayden
MSU01303,-9.81,-0.03,09.28.2020_13_27_12,3: Only Vacuumed,0: No Error,,Hayden
MSU01304,-9.93,-0.19,09.28.2020_13_33_02,3: Only Vacuumed,0: No Error,,Hayden
MSU01305,-9.86,-0.06,09.28.2020_13_39_30,3: Only Vacuumed,0: No Error,,Hayden
MSU01306,-9.97,-0.06,09.28.2020_13_42_58,3: Only Vacuumed,0: No Error,,Hayden
MSU01307,-9.80,-0.03,09.28.2020_13_48_04,3: Only Vacuumed,0: No Error,,Hayden
MSU01308,-9.83,-0.06,09.28.2020_13_51_19,3: Only Vacuumed,0: No Error,,Hayden
MSU01309,-9.80,-0.20,09.28.2020_13_54_47,3: Only Vacuumed,0: No Error,,Hayden
MSU01310,-9.80,-0.06,09.28.2020_13_58_54,3: Only Vacuumed,0: No Error,,Hayden
MSU01311,-9.87,-0.03,09.28.2020_14_02_22,3: Only Vacuumed,0: No Error,,Hayden
MSU01312,-9.89,-0.32,09.28.2020_14_06_01,3: Only Vacuumed,0: No Error,,Hayden
MSU01313,-9.88,-0.20,09.28.2020_14_09_25,3: Only Vacuumed,0: No Error,,Hayden
MSU01314,-9.77,-0.16,09.28.2020_14_13_44,3: Only Vacuumed,0: No Error,,Hayden
MSU01315,-9.85,0.05,09.28.2020_14_17_16,3: Only Vacuumed,0: No Error,,Hayden
MSU01316,-9.79,-0.11,09.28.2020_14_21_06,3: Only Vacuumed,0: No Error,,Hayden
MSU01317,-8.38,-0.12,09.28.2020_14_24_51,3: Only Vacuumed,0: No Error,,Hayden
MSU01318,-9.84,0.03,09.28.2020_14_28_34,3: Only Vacuumed,0: No Error,,Hayden
MSU01319,-9.84,-0.15,09.28.2020_14_31_27,3: Only Vacuumed,0: No Error,,Hayden
MSU01320,-9.85,-0.16,09.28.2020_14_34_43,3: Only Vacuumed,0: No Error,,Hayden
MSU01321,-9.82,0.09,09.28.2020_14_54_19,3: Only Vacuumed,0: No Error,,Hayden
MSU01322,-9.80,-0.04,09.28.2020_14_58_04,3: Only Vacuumed,0: No Error,,Hayden
MSU01323,-9.70,0.00,09.28.2020_15_01_49,3: Only Vacuumed,0: No Error,,Hayden
MSU01324,-9.81,-0.09,09.28.2020_15_05_20,3: Only Vacuumed,0: No Error,,Hayden
MSU01325,-9.88,-0.08,09.28.2020_15_09_00,3: Only Vacuumed,0: No Error,,Hayden
MSU01326,-9.82,-0.15,09.28.2020_15_12_47,3: Only Vacuumed,0: No Error,,Hayden
